time_s,lat_deg,lon_deg,alt_m,Px_m,Py_m,Pz_m,roll_deg,pitch_deg,yaw_deg,Bx_true_nT,By_true_nT,Bz_true_nT,B_total_true_nT,B_proj_D1_nT,B_proj_D2_nT,B_proj_D3_nT,B_proj_D4_nT,Bx_meas_nT,By_meas_nT,Bz_meas_nT,B_total_meas_nT
55.0,23.05214440437598,72.5714,1055.0,3300.000000003909,0.0,-55.0,0.0,5.0,0.0,34285.94476997988,257.99354614891035,29883.841150351192,45482.26611921824,37127.73598083463,2437.9818469104216,-37062.634020286,-2546.6818030481577,34283.79524366119,75.25843753840599,29966.94989347619,45534.62820820896
56.0,23.05268339354645,72.5714,1056.0,3360.0000000032715,0.0,-56.0,0.0,5.0,0.0,34213.75166272639,317.6294532116384,29885.372357451,45429.25458613378,37087.15025044238,2373.988413732027,-36817.36622887286,-2808.165836113856,34245.53297609435,304.8242468733174,29757.655749398316,45369.23541716288
57.0,23.053222382716925,72.5714,1057.0,3420.000000004051,0.0,-57.0,0.0,5.0,0.0,34148.47437297224,306.5280975314987,29947.062109987724,45420.68681223987,37001.66553654766,2302.3081622902378,-36846.1132555331,-2752.800904720061,34165.952658963804,262.4251930699829,29788.099788031825,45328.93200879826
58.0,23.0537613718874,72.5714,1058.0,3480.000000004476,0.0,-58.0,0.0,5.0,0.0,34144.03902480424,234.26576290642777,29891.491806093105,45380.29929130874,37134.90304052342,2298.572985395244,-36796.58116672885,-2436.854902322432,34063.77215576064,206.37549515249927,29962.77130720784,45366.84724259126
59.0,23.05430036105787,72.5714,1059.0,3540.0000000041928,0.0,-59.0,0.0,5.0,0.0,34150.924053783856,195.40451470308187,29917.44994981169,45402.396502290125,37225.94399467656,2120.0151969208805,-37052.7019912278,-2552.878431813843,34187.019487085454,262.451266885374,30140.174895418724,45576.8726966241
60.0,23.05483935022834,72.5714,1060.0,3600.000000004264,0.0,-60.0,0.0,5.0,0.0,34155.43778670847,226.12636188471936,29873.26639458378,45376.83449310915,37032.89801466196,2107.1686931314703,-36608.85125764444,-2837.201038351257,34028.78772105421,499.7309102571184,29746.837927887314,45200.47003577763
61.0,23.05537833939881,72.5714,1061.0,3660.000000003627,0.0,-61.0,0.0,5.0,0.0,34171.8596667579,239.0263944064391,29874.269282627552,45389.92280091212,37048.4520289038,2371.4479665817216,-36795.59072589679,-2553.34269467792,34107.905382386365,188.254883691932,29842.911561415145,45320.900475801456
62.0,23.055917328569286,72.5714,1062.0,3720.000000004406,0.0,-62.0,0.0,5.0,0.0,34126.14031251221,285.2810470354964,29865.94886011484,45350.30032116726,37073.64109022547,2260.83219352726,-36891.58137214952,-2731.236438468024,34189.509950863736,282.5251835131692,29866.25169812038,45398.18720670472
63.0,23.05645631773976,72.5714,1063.0,3780.000000004477,0.0,-63.0,0.0,5.0,0.0,34115.42106973603,341.5608329213193,29958.97535677897,45403.95162313589,37135.98828347096,2420.782127003398,-36616.80280296052,-2597.143615363363,34108.72092402483,301.1806722835127,29763.069756831315,45269.59105426482
64.0,23.05699530691023,72.5714,1064.0,3840.000000004549,0.0,-64.0,0.0,5.0,0.0,34111.94314693361,347.4542213102251,29974.00179648448,45411.30006277283,37025.98243201161,2201.0924496326493,-36788.11117876329,-2517.872746229855,34005.8119817226,240.171166207314,29919.068242531062,45294.63075494243
65.0,23.057534296080703,72.5714,1065.0,3900.0000000046193,0.0,-65.0,0.0,5.0,0.0,34095.14291248759,353.3534540005878,30009.77650720189,45422.35479253154,37384.80128181521,2415.48613350646,-36906.992490710974,-2321.4107834663987,34220.42688246446,166.16145412159338,30118.153817257764,45586.932502713214
